name,hash_name,wear,url,price_usd,quantity,scraped_at,total market value
AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Blue%20Laminate%20%28Minimal%20Wear%29,21.85,593,2026-07-09 11:23:11.030327,12957.05
AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Blue%20Laminate%20%28Well-Worn%29,27.77,28,2026-07-09 11:23:11.030362,777.56
AK-47 | Breakthrough (Battle-Scarred),AK-47 | Breakthrough (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Breakthrough%20%28Battle-Scarred%29,2.9,146,2026-07-09 11:23:11.030398,423.4
AK-47 | Breakthrough (Factory New),AK-47 | Breakthrough (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Breakthrough%20%28Factory%20New%29,19.32,206,2026-07-09 11:23:11.030433,3979.92
AK-47 | Breakthrough (Field-Tested),AK-47 | Breakthrough (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Breakthrough%20%28Field-Tested%29,3.37,580,2026-07-09 11:23:13.237675,1954.6
AK-47 | Breakthrough (Minimal Wear),AK-47 | Breakthrough (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Breakthrough%20%28Minimal%20Wear%29,7.86,319,2026-07-09 11:23:13.237783,2507.34
AK-47 | Breakthrough (Well-Worn),AK-47 | Breakthrough (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Breakthrough%20%28Well-Worn%29,3.53,127,2026-07-09 11:23:13.237874,448.31
AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Cartel%20%28Battle-Scarred%29,21.85,55,2026-07-09 11:23:13.237962,1201.75
AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Cartel%20%28Factory%20New%29,87.92,105,2026-07-09 11:23:13.238062,9231.6
AK-47 | Cartel (Field-Tested),AK-47 | Cartel (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Cartel%20%28Field-Tested%29,20.86,363,2026-07-09 11:23:13.238151,7572.18
AK-47 | Cartel (Minimal Wear),AK-47 | Cartel (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Cartel%20%28Minimal%20Wear%29,29.03,224,2026-07-09 11:23:13.238239,6502.72
