name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Aphrodite (Battle-Scarred),AK-47 | Aphrodite (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aphrodite%20%28Battle-Scarred%29,16.46,738,2026-07-07T14:32:07.871047
Souvenir AK-47 | Case Hardened (Battle-Scarred),Souvenir AK-47 | Case Hardened (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Case%20Hardened%20%28Battle-Scarred%29,1479.4,1,2026-07-07T14:33:05.526846
Souvenir AK-47 | Case Hardened (Field-Tested),Souvenir AK-47 | Case Hardened (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Case%20Hardened%20%28Field-Tested%29,1784.77,1,2026-07-07T14:33:05.526954
Souvenir AK-47 | Case Hardened (Minimal Wear),Souvenir AK-47 | Case Hardened (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Case%20Hardened%20%28Minimal%20Wear%29,1377.33,3,2026-07-07T14:33:05.527044
Souvenir AK-47 | Case Hardened (Well-Worn),Souvenir AK-47 | Case Hardened (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Case%20Hardened%20%28Well-Worn%29,1286.44,1,2026-07-07T14:33:05.527131
Souvenir AK-47 | Crane Flight (Battle-Scarred),Souvenir AK-47 | Crane Flight (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crane%20Flight%20%28Battle-Scarred%29,51.45,7,2026-07-07T14:33:05.527217
Souvenir AK-47 | Crane Flight (Factory New),Souvenir AK-47 | Crane Flight (Factory New),Factory New,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crane%20Flight%20%28Factory%20New%29,433.91,5,2026-07-07T14:33:05.527319
Souvenir AK-47 | Crane Flight (Field-Tested),Souvenir AK-47 | Crane Flight (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crane%20Flight%20%28Field-Tested%29,102.92,6,2026-07-07T14:33:05.527404
Souvenir AK-47 | Crane Flight (Minimal Wear),Souvenir AK-47 | Crane Flight (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crane%20Flight%20%28Minimal%20Wear%29,103.56,9,2026-07-07T14:33:05.527490
Souvenir AK-47 | Crane Flight (Well-Worn),Souvenir AK-47 | Crane Flight (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crane%20Flight%20%28Well-Worn%29,122.19,4,2026-07-07T14:33:05.527575
Souvenir AK-47 | Crossfade (Factory New),Souvenir AK-47 | Crossfade (Factory New),Factory New,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crossfade%20%28Factory%20New%29,56.24,7,2026-07-07T14:33:05.527659
Souvenir AK-47 | Crossfade (Minimal Wear),Souvenir AK-47 | Crossfade (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Crossfade%20%28Minimal%20Wear%29,25.33,1,2026-07-07T14:33:07.425541
Souvenir AK-47 | Elite Build (Factory New),Souvenir AK-47 | Elite Build (Factory New),Factory New,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Elite%20Build%20%28Factory%20New%29,227.24,4,2026-07-07T14:33:07.425675
Souvenir AK-47 | Elite Build (Field-Tested),Souvenir AK-47 | Elite Build (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Elite%20Build%20%28Field-Tested%29,14.67,4,2026-07-07T14:33:07.425783
Souvenir AK-47 | Elite Build (Minimal Wear),Souvenir AK-47 | Elite Build (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Elite%20Build%20%28Minimal%20Wear%29,41.23,4,2026-07-07T14:33:07.425896
Souvenir AK-47 | Elite Build (Well-Worn),Souvenir AK-47 | Elite Build (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Elite%20Build%20%28Well-Worn%29,385.94,1,2026-07-07T14:33:07.426000
Souvenir AK-47 | Emerald Pinstripe (Field-Tested),Souvenir AK-47 | Emerald Pinstripe (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Emerald%20Pinstripe%20%28Field-Tested%29,114.08,1,2026-07-07T14:33:07.426112
Souvenir AK-47 | Emerald Pinstripe (Well-Worn),Souvenir AK-47 | Emerald Pinstripe (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Emerald%20Pinstripe%20%28Well-Worn%29,63.86,2,2026-07-07T14:33:07.426217
Souvenir AK-47 | Frontside Misty (Field-Tested),Souvenir AK-47 | Frontside Misty (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Frontside%20Misty%20%28Field-Tested%29,112.03,2,2026-07-07T14:33:07.426319
Souvenir AK-47 | Frontside Misty (Minimal Wear),Souvenir AK-47 | Frontside Misty (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Frontside%20Misty%20%28Minimal%20Wear%29,1123.02,3,2026-07-07T14:33:07.426419
